"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"hide new secretions from the parental units ","hide new secretions from the parental units ",0.09814518690109253,0.09814518690109253,0,0,0,1,"Failed"
"contains no wit , only labored gags ","contains no wit , only labored gags ",0.02071136236190796,0.02071136236190796,0,0,0,1,"Failed"
"that loves its characters and communicates something rather beautiful about human nature ","that loves its characters and communicates something rather beautiful about human nature ",0.014266729354858398,0.014266729354858398,1,1,1,1,"Failed"
"remains utterly satisfied to remain the same throughout ","remains utterly satisfied to remain the same throughout ",0.2593361735343933,0.2593361735343933,0,0,0,1,"Failed"
"on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ","on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ",0.014989078044891357,0.014989078044891357,0,0,0,1,"Failed"
"that 's far too tragic to merit such superficial treatment ","that 's far too tragic to merit such superficial treatment ",0.023497581481933594,0.023497581481933594,0,0,0,1,"Failed"
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ","demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",0.030143141746520996,0.030143141746520996,1,1,1,1,"Failed"
"of saucy ","of saucy ",0.28701847791671753,0.28701847791671753,1,1,1,1,"Failed"
"a depressed fifteen-year-old 's suicidal poetry ","a depressed fifteen-year-old 's suicidal poetry ",0.1167495846748352,0.1167495846748352,0,0,0,1,"Failed"
"are more deeply thought through than in most ` right-thinking ' films ","are more deeply thought through than in most ` right-thinking ' films ",0.2652367949485779,0.2652367949485779,1,1,1,1,"Failed"
"goes to absurd lengths ","goes to absurd lengths ",0.08160120248794556,0.08160120248794556,0,0,0,1,"Failed"
"for those moviegoers who complain that ` they do n't make movies like they used to anymore ","for those moviegoers who complain that ` they do n't make movies like they used to anymore ",0.06072402000427246,0.06072402000427246,0,0,0,1,"Failed"
"the part where nothing 's happening , ","the part where nothing 's happening , ",0.05649399757385254,0.05649399757385254,0,0,0,1,"Failed"
"saw how bad this movie was ","saw how bad this movie was ",0.023114800453186035,0.023114800453186035,0,0,0,1,"Failed"
"lend some dignity to a dumb story ","lend some dignity to a dumb story ",0.13039535284042358,0.13039535284042358,0,0,0,1,"Failed"
"the greatest musicians ","the greatest musicians ",0.09916073083877563,0.09916073083877563,1,1,1,1,"Failed"
