"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[hide]] new [[secretions]] from the [[parental]] units ","[[undercover]] new [[bronchial]] from the [[motherly]] units ",0.09814518690109253,0.663282573223114,0,1,0,58,"Successful"
"[[contains]] no wit , only [[labored]] [[gags]] ","[[provides]] no wit , only [[longed]] [[laughs]] ",0.02071136236190796,0.609028160572052,0,1,0,89,"Successful"
"that [[loves]] its characters and [[communicates]] something rather [[beautiful]] about [[human]] nature ","that [[cared]] its characters and [[behaves]] something rather [[grandiose]] about [[humanitarian]] nature ",0.014266729354858398,0.5544283390045166,1,0,1,125,"Successful"
"remains utterly satisfied to [[remain]] the same throughout ","remains utterly satisfied to [[keep]] the same throughout ",0.2593361735343933,0.7952102422714233,0,1,0,55,"Successful"
"on the [[worst]] revenge-of-the-nerds [[clichés]] the filmmakers could [[dredge]] up ","on the [[finest]] revenge-of-the-nerds [[metaphors]] the filmmakers could [[spatula]] up ",0.014989078044891357,0.5033173561096191,0,1,0,96,"Successful"
"that 's [[far]] too tragic to merit such [[superficial]] treatment ","that 's [[immensely]] too tragic to merit such [[conspicuous]] treatment ",0.023497581481933594,0.6738166809082031,0,1,0,62,"Successful"
"[[demonstrates]] that the director of such hollywood blockbusters as patriot games can [[still]] turn out a small , personal [[film]] with an [[emotional]] wallop . ","[[exposes]] that the director of such hollywood blockbusters as patriot games can [[instead]] turn out a small , personal [[footage]] with an [[mental]] wallop . ",0.030143141746520996,0.5885893702507019,1,0,1,120,"Successful"
"of [[saucy]] ","of [[shameless]] ",0.28701847791671753,0.6957129240036011,1,0,1,41,"Successful"
"a [[depressed]] fifteen-year-old 's [[suicidal]] poetry ","a [[lobbied]] fifteen-year-old 's [[martyrdom]] poetry ",0.1167495846748352,0.7612122893333435,0,1,0,32,"Successful"
"are more deeply thought through than in most ` right-thinking ' [[films]] ","are more deeply thought through than in most ` right-thinking ' [[video]] ",0.2652367949485779,0.7645814418792725,1,0,1,52,"Successful"
"[[goes]] to [[absurd]] lengths ","[[will]] to [[nutty]] lengths ",0.08160120248794556,0.5830854177474976,0,1,0,50,"Successful"
"for those moviegoers who [[complain]] that ` they do n't make movies [[like]] they used to anymore ","for those moviegoers who [[weep]] that ` they do n't make movies [[enjoyed]] they used to anymore ",0.06072402000427246,0.6710761785507202,0,1,0,63,"Successful"
"the [[part]] where nothing 's [[happening]] , ","the [[share]] where nothing 's [[phenomena]] , ",0.05649399757385254,0.27710026502609253,0,0,0,52,"Failed"
"[[saw]] how [[bad]] this movie was ","[[enjoyed]] how [[wicked]] this movie was ",0.023114800453186035,0.6270719766616821,0,1,0,77,"Successful"
"lend some dignity to a [[dumb]] story ","lend some dignity to a [[silent]] story ",0.13039535284042358,0.9022001624107361,0,1,0,34,"Successful"
"the [[greatest]] [[musicians]] ","the [[worst]] [[songbird]] ",0.09916073083877563,0.9271289110183716,1,0,1,87,"Successful"
"[[cold]] movie ","[[cool]] movie ",0.30341899394989014,0.797950267791748,0,1,0,17,"Successful"
"with his usual [[intelligence]] and [[subtlety]] ","with his usual [[cia]] and [[niceties]] ",0.05799788236618042,0.5661559104919434,1,0,1,43,"Successful"
"[[redundant]] concept ","[[remaining]] concept ",0.4194301962852478,0.7076213359832764,0,1,0,19,"Successful"
"swimming is above all about a [[young]] woman 's face , and by [[casting]] an actress whose face projects that woman 's doubts and [[yearnings]] , it [[succeeds]] . ","swimming is above all about a [[puerile]] woman 's face , and by [[thrown]] an actress whose face projects that woman 's doubts and [[disappointments]] , it [[prospering]] . ",0.018200159072875977,0.6129356622695923,1,0,1,94,"Successful"
"equals the [[original]] and in some [[ways]] even betters it ","equals the [[preliminary]] and in some [[practices]] even betters it ",0.10117989778518677,0.6431524157524109,1,0,1,63,"Successful"
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ","if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",0.8758251070976257,0.8758251070976257,0,0,1,1,"Skipped"
"a [[smile]] on your face ","a [[smirk]] on your face ",0.12131297588348389,0.5668460130691528,1,0,1,50,"Successful"
"comes from the [[brave]] , uninhibited [[performances]] ","comes from the [[greasy]] , uninhibited [[interpreting]] ",0.033103227615356445,0.6850435733795166,1,0,1,53,"Successful"
"excruciatingly [[unfunny]] and [[pitifully]] unromantic ","excruciatingly [[hilarious]] and [[frighteningly]] unromantic ",0.028381764888763428,0.7665193676948547,0,1,0,81,"Successful"
"enriched by an imaginatively mixed [[cast]] of antic [[spirits]] ","enriched by an imaginatively mixed [[thrown]] of antic [[alcoholics]] ",0.03846085071563721,0.8933256268501282,1,0,1,56,"Successful"
"which [[half]] of dragonfly is [[worse]] : the [[part]] where nothing 's [[happening]] , or the part where something 's [[happening]] ","which [[medium]] of dragonfly is [[strongest]] : the [[share]] where nothing 's [[phenomena]] , or the part where something 's [[phenomena]] ",0.018037378787994385,0.5280070304870605,0,1,0,102,"Successful"
"in [[world]] [[cinema]] ","in [[universes]] [[footage]] ",0.10416632890701294,0.6206722259521484,1,0,1,45,"Successful"
"very [[good]] [[viewing]] alternative ","very [[groovy]] [[noticing]] alternative ",0.060044050216674805,0.7846211194992065,1,0,1,93,"Successful"
"the [[plot]] is nothing but [[boilerplate]] [[clichés]] from [[start]] to [[finish]] , ","the [[intrigue]] is nothing but [[rehearsed]] [[metaphors]] from [[opened]] to [[accomplish]] , ",0.02571117877960205,0.7422806024551392,0,1,0,173,"Successful"
"the action is [[stilted]] ","the action is [[diction]] ",0.07339465618133545,0.5873645544052124,0,1,0,8,"Successful"
"on all cylinders ","on all cylinders ",0.6108046174049377,0.6108046174049377,0,0,1,1,"Skipped"
"will find little of interest in this film , which is often [[preachy]] and [[poorly]] acted ","will find little of interest in this film , which is often [[moralist]] and [[erroneously]] acted ",0.028775691986083984,0.6582841873168945,0,1,0,69,"Successful"
"by far the [[worst]] movie of the year ","by far the [[finest]] movie of the year ",0.061954617500305176,0.9078125953674316,0,1,0,46,"Successful"
"[[sit]] through , ","[[seat]] through , ",0.39055097103118896,0.6855202913284302,0,1,0,14,"Successful"
"more than another `` [[best]] man '' clone by weaving a [[theme]] throughout this [[funny]] film ","more than another `` [[biggest]] man '' clone by weaving a [[topic]] throughout this [[outlandish]] film ",0.019507646560668945,0.5137887001037598,1,0,1,92,"Successful"
"it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ","it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ",0.5461951494216919,0.5461951494216919,0,0,1,1,"Skipped"
"[[heroes]] ","[[vigilantes]] ",0.29643839597702026,0.43176835775375366,1,1,1,17,"Failed"
"[[oblivious]] to the existence of this film ","[[impulsive]] to the existence of this film ",0.2438461184501648,0.527775764465332,0,1,0,23,"Successful"
"[[sharply]] ","[[violently]] ",0.29796338081359863,0.5904045104980469,1,0,1,50,"Successful"
"the [[entire]] [[point]] of a [[shaggy]] [[dog]] story , of [[course]] , is that it [[goes]] nowhere , and this is classic nowheresville in [[every]] sense . ","the [[ensemble]] [[respect]] of a [[samy]] [[cocker]] story , of [[paths]] , is that it [[will]] nowhere , and this is classic nowheresville in [[each]] sense . ",0.02723217010498047,0.5199358463287354,0,1,0,115,"Successful"
"[[sometimes]] [[dry]] ","[[always]] [[driest]] ",0.255365252494812,0.6862865686416626,0,1,0,33,"Successful"
"as they [[come]] , already [[having]] been [[recycled]] more times than i 'd [[care]] to count ","as they [[came]] , already [[takes]] been [[reclaiming]] more times than i 'd [[loving]] to count ",0.042573630809783936,0.5328075885772705,0,1,0,65,"Successful"
"covers this territory with [[wit]] and [[originality]] , suggesting that with his fourth [[feature]] ","covers this territory with [[esprit]] and [[singularity]] , suggesting that with his fourth [[hallmark]] ",0.04231148958206177,0.6843767166137695,1,0,1,69,"Successful"
"a $ 40 million [[version]] of a [[game]] ","a $ 40 million [[impression]] of a [[games]] ",0.19926100969314575,0.7697093486785889,0,1,0,52,"Successful"
"[[gorgeous]] and [[deceptively]] [[minimalist]] ","[[glamorous]] and [[wrongly]] [[inane]] ",0.06262290477752686,0.8645670413970947,1,0,1,49,"Successful"
"[[cross]] [[swords]] with the [[best]] of them and ","[[transverse]] [[stabbing]] with the [[biggest]] of them and ",0.03320819139480591,0.6249864101409912,1,0,1,74,"Successful"
"as a fringe feminist [[conspiracy]] theorist ","as a fringe feminist [[intrigue]] theorist ",0.2886161208152771,0.59228515625,0,1,0,25,"Successful"
"proves once again he has n't lost his touch , bringing off a [[superb]] performance in an admittedly middling film . ","proves once again he has n't lost his touch , bringing off a [[magnifique]] performance in an admittedly middling film . ",0.2206556797027588,0.5803446173667908,1,0,1,17,"Successful"
"[[disappointments]] ","[[eccentricities]] ",0.348971962928772,0.708400547504425,0,1,0,52,"Successful"
"the [[horrors]] ","the [[sufferings]] ",0.40334564447402954,0.5451023578643799,0,1,0,41,"Successful"
"a muddle splashed with bloody beauty as [[vivid]] as any [[scorsese]] has ever given us . ","a muddle splashed with bloody beauty as [[vehement]] as any [[coppola]] has ever given us . ",0.06919658184051514,0.606407880783081,1,0,1,27,"Successful"
"[[many]] [[pointless]] ","[[different]] [[counterintuitive]] ",0.11301803588867188,0.6177175045013428,0,1,0,50,"Successful"
"a [[beautifully]] ","a [[appallingly]] ",0.06685477495193481,0.5012722015380859,1,0,1,32,"Successful"
"[[contrived]] , well-worn [[situations]] ","[[engineered]] , well-worn [[example]] ",0.04501223564147949,0.4652913808822632,0,0,0,31,"Failed"
"a [[doa]] ","a [[madea]] ",0.4220089912414551,0.6406478881835938,0,1,0,3,"Successful"
"[[poor]] ben bratt could n't find [[stardom]] if mapquest emailed him point-to-point [[driving]] directions . ","[[needy]] ben bratt could n't find [[renown]] if mapquest emailed him point-to-point [[promenade]] directions . ",0.08619135618209839,0.681312084197998,0,1,0,82,"Successful"
"to be as subtle and [[touching]] as the [[son]] 's room ","to be as subtle and [[affected]] as the [[guy]] 's room ",0.06439495086669922,0.8890552520751953,1,0,1,55,"Successful"
"starts with a [[legend]] ","starts with a [[subtitling]] ",0.09932738542556763,0.6254593729972839,1,0,1,22,"Successful"
"far less sophisticated and ","far less sophisticated and ",0.5606389045715332,0.5606389045715332,1,1,0,1,"Skipped"
"[[rich]] veins of [[funny]] stuff in this movie ","[[tributary]] veins of [[weird]] stuff in this movie ",0.06634461879730225,0.782910943031311,1,0,1,44,"Successful"
"no [[apparent]] joy ","no [[striking]] joy ",0.27123159170150757,0.7871546745300293,0,1,0,32,"Successful"
"shot on [[ugly]] digital [[video]] ","shot on [[outrageous]] digital [[photographer]] ",0.06517034769058228,0.813809871673584,0,1,0,69,"Successful"
"... a [[sour]] [[little]] movie at its core ; an exploration of the [[emptiness]] that underlay the [[relentless]] [[gaiety]] of the 1920 's ... the film 's [[ending]] has a `` what was it all for ? '' ","... a [[scathing]] [[modest]] movie at its core ; an exploration of the [[bereft]] that underlay the [[persevering]] [[fearlessness]] of the 1920 's ... the film 's [[closing]] has a `` what was it all for ? '' ",0.004918456077575684,0.5552036166191101,0,1,0,162,"Successful"
"[[though]] [[ford]] and neeson capably hold our [[interest]] , but its just not a thrilling [[movie]] ","[[while]] [[chevy]] and neeson capably hold our [[significance]] , but its just not a thrilling [[films]] ",0.139518141746521,0.5110326409339905,0,1,0,72,"Successful"
"is pretty damned [[funny]] . ","is pretty damned [[outlandish]] . ",0.1074327826499939,0.6985780596733093,1,0,1,14,"Successful"
"we never feel anything for these [[characters]] ","we never feel anything for these [[roles]] ",0.4866548776626587,0.8967065811157227,0,1,0,41,"Successful"
"'s a [[lousy]] one at that ","'s a [[sorrowful]] one at that ",0.1539594531059265,0.7949955463409424,0,1,0,41,"Successful"
"the corporate circus that is the recording industry in the current climate of mergers and [[downsizing]] ","the corporate circus that is the recording industry in the current climate of mergers and [[diminish]] ",0.3963475823402405,0.5169163942337036,0,1,0,58,"Successful"
"the storylines are woven together skilfully , the [[magnificent]] swooping aerial shots are [[breathtaking]] , and the overall [[experience]] is [[awesome]] . ","the storylines are woven together skilfully , the [[unbelievable]] swooping aerial shots are [[whopping]] , and the overall [[experiencing]] is [[unbelievable]] . ",0.03221851587295532,0.5476059317588806,1,0,1,135,"Successful"
"of the most highly-praised [[disappointments]] i ","of the most highly-praised [[eccentricities]] i ",0.11539328098297119,0.7164307832717896,0,1,0,53,"Successful"
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a [[total]] [[lack]] of empathy . ","sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a [[ensemble]] [[rarity]] of empathy . ",0.023150086402893066,0.7923881411552429,0,1,0,90,"Successful"
"seem [[fresh]] ","seem [[soft]] ",0.3034508228302002,0.6331909894943237,1,0,1,4,"Successful"
"to the [[dustbin]] of history ","to the [[ben]] of history ",0.3803374767303467,0.8549192547798157,0,1,0,29,"Successful"
"as a director , [[eastwood]] is off his [[game]] ","as a director , [[spielberg]] is off his [[games]] ",0.2126585841178894,0.8528468608856201,0,1,0,60,"Successful"
"pays [[earnest]] homage to turntablists ","pays [[grievous]] homage to turntablists ",0.15262222290039062,0.5284873247146606,1,0,1,27,"Successful"
"[[weak]] and ","[[modest]] and ",0.3662381172180176,0.8783487677574158,0,1,0,16,"Successful"
"[[skip]] this [[dreck]] , ","[[leap]] this [[bullcrap]] , ",0.06863242387771606,0.618681788444519,0,1,0,50,"Successful"
"contains very few laughs and even [[less]] surprises ","contains very few laughs and even [[modest]] surprises ",0.15121245384216309,0.9500675797462463,0,1,0,39,"Successful"
