"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[hide]] [[new]] [[secretions]] from the [[parental]] [[units]] ","[[undercover]] [[innovative]] [[urethra]] from the [[paternal]] [[drive]] ",0.20546185970306396,0.9334529638290405,0,1,0,86,"Successful"
"[[contains]] no wit , only [[labored]] [[gags]] ","[[provides]] no wit , only [[longed]] [[laughs]] ",0.06856745481491089,0.9089769721031189,0,1,0,89,"Successful"
"that [[loves]] its characters and [[communicates]] something rather [[beautiful]] about [[human]] nature ","that [[like]] its characters and [[divulge]] something rather [[grandiose]] about [[humanitarian]] nature ",0.024529635906219482,0.8371992707252502,1,0,1,125,"Successful"
"remains [[utterly]] satisfied to [[remain]] the same throughout ","remains [[enormously]] satisfied to [[keep]] the same throughout ",0.2958800196647644,0.9429872035980225,0,1,0,103,"Successful"
"on the [[worst]] revenge-of-the-nerds [[clichés]] the [[filmmakers]] could [[dredge]] up ","on the [[finest]] revenge-of-the-nerds [[trivia]] the [[film]] could [[spatula]] up ",0.08452421426773071,0.9172135591506958,0,1,0,118,"Successful"
"that 's [[far]] too [[tragic]] to merit such [[superficial]] treatment ","that 's [[enormously]] too [[poignant]] to merit such [[evident]] treatment ",0.05232274532318115,0.8685077428817749,0,1,0,100,"Successful"
"[[demonstrates]] that the [[director]] of such hollywood blockbusters as patriot games can still turn out a small , [[personal]] [[film]] with an [[emotional]] wallop . ","[[testify]] that the [[directors]] of such hollywood blockbusters as patriot games can still turn out a small , [[moveable]] [[moviemaking]] with an [[mental]] wallop . ",0.024157345294952393,0.6997873783111572,1,0,1,141,"Successful"
"of [[saucy]] ","of [[shameless]] ",0.07238632440567017,0.7058286666870117,1,0,1,41,"Successful"
"a [[depressed]] fifteen-year-old 's [[suicidal]] poetry ","a [[pisa]] fifteen-year-old 's [[martyrdom]] poetry ",0.20271557569503784,0.9101041555404663,0,1,0,32,"Successful"
"are more [[deeply]] thought through than in most ` right-thinking ' [[films]] ","are more [[roundly]] thought through than in most ` right-thinking ' [[moviemaking]] ",0.11772769689559937,0.8646677732467651,1,0,1,65,"Successful"
"[[goes]] to [[absurd]] [[lengths]] ","[[will]] to [[daft]] [[moments]] ",0.18250471353530884,0.9353407025337219,0,1,0,82,"Successful"
"for those moviegoers who complain that ` they do n't make movies [[like]] they used to [[anymore]] ","for those moviegoers who complain that ` they do n't make movies [[enjoyed]] they used to [[greatest]] ",0.06917798519134521,0.5843117237091064,0,1,0,52,"Successful"
"the [[part]] where nothing 's [[happening]] , ","the [[element]] where nothing 's [[event]] , ",0.169619619846344,0.32784754037857056,0,0,0,52,"Failed"
"[[saw]] how [[bad]] this movie was ","[[enjoyed]] how [[wicked]] this movie was ",0.09264123439788818,0.8833182454109192,0,1,0,77,"Successful"
"lend some dignity to a [[dumb]] story ","lend some dignity to a [[silent]] story ",0.17945533990859985,0.91451495885849,0,1,0,34,"Successful"
"the greatest [[musicians]] ","the greatest [[songbird]] ",0.050636112689971924,0.5570101737976074,1,0,1,51,"Successful"
"[[cold]] movie ","[[cool]] movie ",0.31745123863220215,0.9324737787246704,0,1,0,17,"Successful"
"with his usual [[intelligence]] and [[subtlety]] ","with his usual [[hyena]] and [[niceties]] ",0.059351205825805664,0.735710859298706,1,0,1,43,"Successful"
"[[redundant]] [[concept]] ","[[remaining]] [[insights]] ",0.3163020610809326,0.9396910667419434,0,1,0,67,"Successful"
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and [[yearnings]] , it [[succeeds]] . ","swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and [[disappointments]] , it [[avail]] . ",0.01999974250793457,0.5225870609283447,1,0,1,56,"Successful"
"equals the original and in some [[ways]] even betters it ","equals the original and in some [[methodology]] even betters it ",0.08796173334121704,0.7189562320709229,1,0,1,54,"Successful"
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ","if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",0.9688719511032104,0.9688719511032104,0,0,1,1,"Skipped"
"a [[smile]] on your face ","a [[snickering]] on your face ",0.058688342571258545,0.6350696086883545,1,0,1,50,"Successful"
"comes from the [[brave]] , uninhibited [[performances]] ","comes from the [[greasy]] , uninhibited [[executions]] ",0.03644275665283203,0.7173075675964355,1,0,1,53,"Successful"
"excruciatingly [[unfunny]] and [[pitifully]] unromantic ","excruciatingly [[hilarious]] and [[frighteningly]] unromantic ",0.10104918479919434,0.8721270561218262,0,1,0,81,"Successful"
"enriched by an imaginatively mixed [[cast]] of antic [[spirits]] ","enriched by an imaginatively mixed [[thrown]] of antic [[alcoholics]] ",0.050752103328704834,0.8534031510353088,1,0,1,56,"Successful"
"which [[half]] of dragonfly is [[worse]] : the part where nothing 's [[happening]] , or the part where something 's [[happening]] ","which [[medium]] of dragonfly is [[greatest]] : the part where nothing 's [[event]] , or the part where something 's [[events]] ",0.04006904363632202,0.8814625144004822,0,1,0,71,"Successful"
"in [[world]] cinema ","in [[globo]] cinema ",0.04623895883560181,0.5182839632034302,1,0,1,15,"Successful"
"very [[good]] viewing alternative ","very [[advisable]] viewing alternative ",0.053016722202301025,0.6227246522903442,1,0,1,43,"Successful"
"the [[plot]] is nothing but [[boilerplate]] [[clichés]] from [[start]] to [[finish]] , ","the [[intrigue]] is nothing but [[rehearse]] [[trivia]] from [[opened]] to [[complemented]] , ",0.05638343095779419,0.4327927231788635,0,0,0,173,"Failed"
"the [[action]] is [[stilted]] ","the [[work]] is [[diction]] ",0.1924305558204651,0.48601067066192627,0,0,0,53,"Failed"
"on all cylinders ","on all cylinders ",0.6786938905715942,0.6786938905715942,0,0,1,1,"Skipped"
"will find little of interest in this film , which is often [[preachy]] and [[poorly]] acted ","will find little of interest in this film , which is often [[supercilious]] and [[improperly]] acted ",0.304182767868042,0.8080030679702759,0,1,0,69,"Successful"
