"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[hide]] new secretions from the parental units ","[[hire]] new secretions from the parental units ",0.09814518690109253,0.16949903964996338,0,0,0,146,"Failed"
"contains no wit , only labored [[gags]] ","contains no wit , only labored [[gads]] ",0.02071136236190796,0.043424785137176514,0,0,0,99,"Failed"
"that loves its characters and communicates something rather [[beautiful]] about human nature ","that loves its characters and communicates something rather [[bOeautiful]] about human nature ",0.014266729354858398,0.025805771350860596,1,1,1,351,"Failed"
"remains utterly satisfied to [[remain]] the same throughout ","remains utterly satisfied to [[reman]] the same throughout ",0.2593361735343933,0.4321863055229187,0,0,0,228,"Failed"
"on the [[worst]] revenge-of-the-nerds clichés the filmmakers could dredge up ","on the [[wort]] revenge-of-the-nerds clichés the filmmakers could dredge up ",0.014989078044891357,0.03437972068786621,0,0,0,304,"Failed"
"that 's far too tragic to merit such [[superficial]] treatment ","that 's far too tragic to merit such [[sXuperficial]] treatment ",0.023497581481933594,0.12001866102218628,0,0,0,178,"Failed"
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal [[film]] with an emotional wallop . ","demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal [[fiom]] with an emotional wallop . ",0.030143141746520996,0.049754798412323,1,1,1,500,"Failed"
"of [[saucy]] ","of [[sacy]] ",0.28701847791671753,0.44688498973846436,1,1,1,23,"Failed"
"a depressed fifteen-year-old 's [[suicidal]] poetry ","a depressed fifteen-year-old 's [[sHuicidal]] poetry ",0.1167495846748352,0.2668910622596741,0,0,0,231,"Failed"
"are more deeply thought through than in most ` right-thinking ' [[films]] ","are more deeply thought through than in most ` right-thinking ' [[flims]] ",0.2652367949485779,0.6610923409461975,1,0,1,185,"Successful"
"goes to [[absurd]] lengths ","goes to [[aMbsurd]] lengths ",0.08160120248794556,0.3365052342414856,0,0,0,89,"Failed"
"for those moviegoers who complain that ` they do n't make movies [[like]] they used to anymore ","for those moviegoers who complain that ` they do n't make movies [[luke]] they used to anymore ",0.06072402000427246,0.1590714454650879,0,0,0,216,"Failed"
"the part where [[nothing]] 's happening , ","the part where [[notting]] 's happening , ",0.05649399757385254,0.35138869285583496,0,0,0,100,"Failed"
"saw how bad this [[movie]] was ","saw how bad this [[move]] was ",0.023114800453186035,0.029631435871124268,0,0,0,22,"Failed"
"lend some dignity to a [[dumb]] story ","lend some dignity to a [[dmb]] story ",0.13039535284042358,0.7508358359336853,0,1,0,90,"Successful"
"the greatest [[musicians]] ","the greatest [[mhsicians]] ",0.09916073083877563,0.3162025809288025,1,1,1,105,"Failed"
"[[cold]] movie ","[[cWold]] movie ",0.30341899394989014,0.5730881690979004,0,1,0,35,"Successful"
"with his usual intelligence and [[subtlety]] ","with his usual intelligence and [[sbtlety]] ",0.05799788236618042,0.13547056913375854,1,1,1,145,"Failed"
"[[redundant]] concept ","[[rddundant]] concept ",0.4194301962852478,0.5815869569778442,0,1,0,91,"Successful"
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it [[succeeds]] . ","swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it [[saucceeds]] . ",0.018200159072875977,0.054856300354003906,1,1,1,410,"Failed"
"equals the original and in some [[ways]] even betters it ","equals the original and in some [[was]] even betters it ",0.10117989778518677,0.4067534804344177,1,1,1,143,"Failed"
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ","if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",0.8758251070976257,0.8758251070976257,0,0,1,1,"Skipped"
"a smile on your [[face]] ","a smile on your [[fade]] ",0.12131297588348389,0.5445456504821777,1,0,1,35,"Successful"
"comes from the [[brave]] , uninhibited performances ","comes from the [[brae]] , uninhibited performances ",0.033103227615356445,0.11035174131393433,1,1,1,189,"Failed"
"excruciatingly [[unfunny]] and pitifully unromantic ","excruciatingly [[ubfunny]] and pitifully unromantic ",0.028381764888763428,0.07338279485702515,0,0,0,240,"Failed"
"enriched by an imaginatively mixed cast of antic [[spirits]] ","enriched by an imaginatively mixed cast of antic [[sQpirits]] ",0.03846085071563721,0.2122730016708374,1,1,1,229,"Failed"
"which half of dragonfly is [[worse]] : the part where nothing 's happening , or the part where something 's happening ","which half of dragonfly is [[woese]] : the part where nothing 's happening , or the part where something 's happening ",0.018037378787994385,0.0307614803314209,0,0,0,307,"Failed"
"in [[world]] cinema ","in [[wolrd]] cinema ",0.10416632890701294,0.28015631437301636,1,1,1,50,"Failed"
"very [[good]] viewing alternative ","very [[glod]] viewing alternative ",0.060044050216674805,0.21225696802139282,1,1,1,118,"Failed"
"the plot is [[nothing]] but boilerplate clichés from start to finish , ","the plot is [[notting]] but boilerplate clichés from start to finish , ",0.02571117877960205,0.048987627029418945,0,0,0,207,"Failed"
"the action is [[stilted]] ","the action is [[sfilted]] ",0.07339465618133545,0.311337947845459,0,0,0,68,"Failed"
"on all cylinders ","on all cylinders ",0.6108046174049377,0.6108046174049377,0,0,1,1,"Skipped"
"will find little of interest in this film , which is often [[preachy]] and poorly acted ","will find little of interest in this film , which is often [[peachy]] and poorly acted ",0.028775691986083984,0.17579352855682373,0,0,0,218,"Failed"
"by far the [[worst]] movie of the year ","by far the [[wAorst]] movie of the year ",0.061954617500305176,0.46621596813201904,0,0,0,61,"Failed"
"sit through , ","sit through , ",0.39055097103118896,0.39055097103118896,0,0,0,1,"Failed"
"more than another `` best man '' clone by weaving a theme throughout this [[funny]] film ","more than another `` best man '' clone by weaving a theme throughout this [[fhnny]] film ",0.019507646560668945,0.04308849573135376,1,1,1,237,"Failed"
