"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[hide]] new [[secretions]] from the [[parental]] [[units]] ","[[hdie]] new [[Asecretions]] from the [[paental]] [[unit]] ",0.20546185970306396,0.3318665027618408,0,0,0,26,"Failed"
"[[contains]] no wit , only [[labored]] [[gags]] ","[[contais]] no wit , only [[abored]] [[Xgags]] ",0.06856745481491089,0.23297572135925293,0,0,0,21,"Failed"
"that [[loves]] its characters and [[communicates]] something rather [[beautiful]] about [[human]] nature ","that [[loyves]] its characters and [[Zommunicates]] something rather [[beauiful]] about [[hiuman]] nature ",0.024529635906219482,0.7014349102973938,1,0,1,25,"Successful"
"[[remains]] [[utterly]] satisfied to [[remain]] the same throughout ","[[remaCins]] [[uterly]] satisfied to [[remaHn]] the same throughout ",0.2958800196647644,0.36291056871414185,0,0,0,26,"Failed"
"on the [[worst]] revenge-of-the-nerds [[clichés]] the filmmakers [[could]] [[dredge]] up ","on the [[Torst]] revenge-of-the-nerds [[clfchés]] the filmmakers [[qould]] [[dregde]] up ",0.08452421426773071,0.3392300009727478,0,0,0,31,"Failed"
"that 's [[far]] too [[tragic]] to merit such [[superficial]] treatment ","that 's [[afr]] too [[tqagic]] to merit such [[psuperficial]] treatment ",0.05232274532318115,0.17089331150054932,0,0,0,26,"Failed"
"[[demonstrates]] that the [[director]] of such hollywood blockbusters as patriot games can [[still]] turn out a small , personal [[film]] with an [[emotional]] wallop . ","[[demSnstrates]] that the [[direcor]] of such hollywood blockbusters as patriot games can [[till]] turn out a small , personal [[flm]] with an [[eUotional]] wallop . ",0.024157345294952393,0.5320199728012085,1,0,1,32,"Successful"
"of [[saucy]] ","of [[Raucy]] ",0.07238632440567017,0.5869574546813965,1,0,1,6,"Successful"
"a [[depressed]] [[fifteen-year-old]] 's [[suicidal]] poetry ","a [[dHpressed]] [[fifteen-yeaC-old]] 's [[Puicidal]] poetry ",0.20271557569503784,0.4155028462409973,0,0,0,20,"Failed"
"are more [[deeply]] thought through than in most ` right-thinking ' films ","are more [[deeplw]] thought through than in most ` right-thinking ' films ",0.11772769689559937,0.6576201915740967,1,0,1,10,"Successful"
"[[goes]] to [[absurd]] lengths ","[[goTes]] to [[abQsurd]] lengths ",0.18250471353530884,0.34623169898986816,0,0,0,16,"Failed"
"for those moviegoers who [[complain]] that ` they do [[n't]] make movies [[like]] they [[used]] to [[anymore]] ","for those moviegoers who [[Qomplain]] that ` they do [[X't]] make movies [[liOe]] they [[uesd]] to [[anmore]] ",0.06917798519134521,0.2378438115119934,0,0,0,41,"Failed"
"the part where [[nothing]] 's [[happening]] , ","the part where [[nothijng]] 's [[hFappening]] , ",0.169619619846344,0.35806745290756226,0,0,0,16,"Failed"
"[[saw]] how [[bad]] this movie was ","[[sa]] how [[abd]] this movie was ",0.09264123439788818,0.2619208097457886,0,0,0,16,"Failed"
"lend some dignity to a [[dumb]] story ","lend some dignity to a [[umb]] story ",0.17945533990859985,0.8919202089309692,0,1,0,9,"Successful"
"the greatest [[musicians]] ","the greatest [[msuicians]] ",0.050636112689971924,0.5416688919067383,1,0,1,7,"Successful"
"[[cold]] movie ","[[colM]] movie ",0.31745123863220215,0.41149401664733887,0,0,0,11,"Failed"
"with his usual [[intelligence]] and [[subtlety]] ","with his usual [[intelligece]] and [[subtlAty]] ",0.059351205825805664,0.5542250871658325,1,0,1,12,"Successful"
"[[redundant]] concept ","[[rDedundant]] concept ",0.3163020610809326,0.39799463748931885,0,0,0,11,"Failed"
"[[swimming]] is above all about a [[young]] [[woman]] 's [[face]] , and by [[casting]] an actress [[whose]] [[face]] projects that woman 's doubts and [[yearnings]] , it [[succeeds]] . ","[[Pswimming]] is above all about a [[oyung]] [[woma]] 's [[fce]] , and by [[Icasting]] an actress [[whos]] [[facIe]] projects that woman 's doubts and [[eyarnings]] , it [[scuceeds]] . ",0.01999974250793457,0.6899049282073975,1,0,1,50,"Successful"
"equals the original and in some ways even [[betters]] it ","equals the original and in some ways even [[Wetters]] it ",0.08796173334121704,0.6246931552886963,1,0,1,9,"Successful"
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ","if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",0.9688719511032104,0.9688719511032104,0,0,1,1,"Skipped"
"a [[smile]] on your face ","a [[mile]] on your face ",0.058688342571258545,0.5550388097763062,1,0,1,7,"Successful"
"comes from the [[brave]] , uninhibited [[performances]] ","comes from the [[brape]] , uninhibited [[performancGs]] ",0.03644275665283203,0.5666178464889526,1,0,1,13,"Successful"
"[[excruciatingly]] [[unfunny]] and [[pitifully]] [[unromantic]] ","[[ecruciatingly]] [[nfunny]] and [[piHtifully]] [[unKomantic]] ",0.10104918479919434,0.38417357206344604,0,0,0,21,"Failed"
"enriched by an [[imaginatively]] mixed [[cast]] of antic [[spirits]] ","enriched by an [[imaginativgely]] mixed [[caat]] of antic [[psirits]] ",0.050752103328704834,0.7405730485916138,1,0,1,19,"Successful"
"which [[half]] of [[dragonfly]] is [[worse]] : the [[part]] where [[nothing]] 's [[happening]] , or the part where something 's [[happening]] ","which [[Galf]] of [[Sragonfly]] is [[Xworse]] : the [[aprt]] where [[nothVing]] 's [[hapBening]] , or the part where something 's [[haepening]] ",0.04006904363632202,0.12325835227966309,0,0,0,46,"Failed"
"in world [[cinema]] ","in world [[cinIema]] ",0.04623895883560181,0.5014578104019165,1,0,1,7,"Successful"
"very [[good]] viewing alternative ","very [[gfod]] viewing alternative ",0.053016722202301025,0.5516719818115234,1,0,1,7,"Successful"
"the [[plot]] is [[nothing]] but [[boilerplate]] [[clichés]] from [[start]] to finish , ","the [[mlot]] is [[nothinw]] but [[boileUplate]] [[clichsé]] from [[staSrt]] to finish , ",0.05638343095779419,0.3025205731391907,0,0,0,31,"Failed"
"the [[action]] is [[stilted]] ","the [[aLtion]] is [[seilted]] ",0.1924305558204651,0.35116046667099,0,0,0,11,"Failed"
"on all cylinders ","on all cylinders ",0.6786938905715942,0.6786938905715942,0,0,1,1,"Skipped"
"will find little of interest in this film , which is often [[preachy]] and [[poorly]] acted ","will find little of interest in this film , which is often [[preachVy]] and [[poHrly]] acted ",0.304182767868042,0.8872575759887695,0,1,0,16,"Successful"
"by [[far]] the [[worst]] movie of the year ","by [[fra]] the [[orst]] movie of the year ",0.1698683500289917,0.3943955898284912,0,0,0,21,"Failed"
"[[sit]] through , ","[[swt]] through , ",0.36574333906173706,0.43924665451049805,0,0,0,6,"Failed"
"more than another `` [[best]] man '' clone by weaving a theme throughout this [[funny]] [[film]] ","more than another `` [[bets]] man '' clone by weaving a theme throughout this [[fundny]] [[fiRlm]] ",0.022571980953216553,0.7396591901779175,1,0,1,22,"Successful"
"it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ","it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ",0.719255805015564,0.719255805015564,0,0,1,1,"Skipped"
"heroes ","heroes ",0.5467116236686707,0.5467116236686707,0,0,1,1,"Skipped"
"[[oblivious]] to the [[existence]] of this film ","[[obliZious]] to the [[eUxistence]] of this film ",0.3305307626724243,0.4654027223587036,0,0,0,16,"Failed"
"sharply ","sharply ",0.6159629821777344,0.6159629821777344,0,0,1,1,"Skipped"
"the [[entire]] [[point]] of a [[shaggy]] [[dog]] [[story]] , of [[course]] , is that it [[goes]] [[nowhere]] , and this is classic [[nowheresville]] in [[every]] sense . ","the [[eTtire]] [[Eoint]] of a [[Kshaggy]] [[jog]] [[stry]] , of [[coursQ]] , is that it [[gCes]] [[cnowhere]] , and this is classic [[nowheersville]] in [[eveiry]] sense . ",0.03988999128341675,0.08938038349151611,0,0,0,60,"Failed"
"sometimes [[dry]] ","sometimes [[wry]] ",0.2881443500518799,0.9396251440048218,0,1,0,7,"Successful"
"as they come , [[already]] having been [[recycled]] more times than i 'd [[care]] to count ","as they come , [[alreadm]] having been [[recyYcled]] more times than i 'd [[acre]] to count ",0.04985684156417847,0.0990191102027893,0,0,0,31,"Failed"
"[[covers]] this territory with [[wit]] and [[originality]] , suggesting that with his fourth [[feature]] ","[[Xovers]] this territory with [[whit]] and [[orginality]] , suggesting that with his fourth [[efature]] ",0.03515362739562988,0.6354708075523376,1,0,1,24,"Successful"
"a $ [[40]] million [[version]] of a [[game]] ","a $ [[W0]] million [[versiNon]] of a [[came]] ",0.26000267267227173,0.4309069514274597,0,0,0,21,"Failed"
"[[gorgeous]] and [[deceptively]] minimalist ","[[gTorgeous]] and [[deceptivelMy]] minimalist ",0.04860752820968628,0.5517692565917969,1,0,1,12,"Successful"
"cross [[swords]] with the [[best]] of them and ","cross [[sords]] with the [[bRst]] of them and ",0.03531128168106079,0.5688707232475281,1,0,1,12,"Successful"
"as a [[fringe]] [[feminist]] [[conspiracy]] [[theorist]] ","as a [[fringee]] [[femAnist]] [[conVspiracy]] [[tehorist]] ",0.1865330934524536,0.3102076053619385,0,0,0,21,"Failed"
"proves once again he has n't lost his touch , bringing off a [[superb]] performance in an admittedly middling film . ","proves once again he has n't lost his touch , bringing off a [[sfuperb]] performance in an admittedly middling film . ",0.0738520622253418,0.6520394682884216,1,0,1,15,"Successful"
"[[disappointments]] ","[[diappointments]] ",0.32774269580841064,0.3885385990142822,0,0,0,6,"Failed"
"the [[horrors]] ","the [[horrorL]] ",0.3277612328529358,0.3702666759490967,0,0,0,6,"Failed"
"a muddle splashed with bloody [[beauty]] as [[vivid]] as any scorsese has ever given [[us]] . ","a muddle splashed with bloody [[beaut]] as [[viuid]] as any scorsese has ever given [[Eus]] . ",0.05021947622299194,0.8905584216117859,1,0,1,22,"Successful"
"[[many]] [[pointless]] ","[[man]] [[pocntless]] ",0.23185867071151733,0.42459672689437866,0,0,0,11,"Failed"
"a [[beautifully]] ","a [[bCeautifully]] ",0.04387223720550537,0.5860227942466736,1,0,1,6,"Successful"
"[[contrived]] , [[well-worn]] [[situations]] ","[[contriDed]] , [[ewll-worn]] [[situaions]] ",0.12381458282470703,0.35577476024627686,0,0,0,16,"Failed"
"a [[doa]] ","a [[dao]] ",0.2963339686393738,0.43508273363113403,0,0,0,6,"Failed"
"[[poor]] ben [[bratt]] [[could]] [[n't]] [[find]] [[stardom]] if [[mapquest]] [[emailed]] him [[point-to-point]] [[driving]] directions . ","[[Xpoor]] ben [[brZtt]] [[couad]] '[[nt]] [[fHind]] [[dstardom]] if [[malpquest]] [[eZailed]] him [[point-sto-point]] [[drivXng]] directions . ",0.08018839359283447,0.30173641443252563,0,0,0,57,"Failed"
"to be as subtle and [[touching]] as the [[son]] 's room ","to be as subtle and [[otuching]] as the [[sno]] 's room ",0.04081016778945923,0.7303869724273682,1,0,1,13,"Successful"
"starts with a [[legend]] ","starts with a [[Glegend]] ",0.05723285675048828,0.5833956003189087,1,0,1,7,"Successful"
"far [[less]] sophisticated and ","far [[Rless]] sophisticated and ",0.4052574038505554,0.9336065649986267,0,1,0,8,"Successful"
"[[rich]] veins of [[funny]] stuff in this movie ","[[rch]] veins of [[fnny]] stuff in this movie ",0.07407009601593018,0.6858634948730469,1,0,1,14,"Successful"
"no [[apparent]] joy ","no [[aparent]] joy ",0.30817270278930664,0.3692173361778259,0,0,0,11,"Failed"
"shot on [[ugly]] [[digital]] [[video]] ","shot on [[Tugly]] [[digctal]] [[vfdeo]] ",0.15450751781463623,0.33255207538604736,0,0,0,21,"Failed"
"... a [[sour]] [[little]] movie at its core ; an exploration of the [[emptiness]] that [[underlay]] the [[relentless]] [[gaiety]] of the [[1920]] 's ... the [[film]] 's [[ending]] has a [[``]] what was it all for ? '' ","... a [[sor]] [[lcittle]] movie at its core ; an exploration of the [[empiness]] that [[udnerlay]] the [[Xelentless]] [[gaieMty]] of the [[1290]] 's ... the [[Wfilm]] 's [[evding]] has a [[`]] what was it all for ? '' ",0.030247747898101807,0.05018484592437744,0,0,0,64,"Failed"
"though [[ford]] and neeson capably hold our interest , but its just not a thrilling movie ","though [[frd]] and neeson capably hold our interest , but its just not a thrilling movie ",0.08401602506637573,0.5246320962905884,0,1,0,13,"Successful"
"is pretty damned [[funny]] . ","is pretty damned [[tunny]] . ",0.0798456072807312,0.7069599628448486,1,0,1,8,"Successful"
"we never feel [[anything]] for these characters ","we never feel [[anytRhing]] for these characters ",0.36346137523651123,0.42528200149536133,0,0,0,20,"Failed"
"'s a [[lousy]] one at that ","'s a [[lEousy]] one at that ",0.24579495191574097,0.910157322883606,0,1,0,7,"Successful"
"the corporate circus that is the recording industry in the current climate of [[mergers]] and [[downsizing]] ","the corporate circus that is the recording industry in the current climate of [[merges]] and [[downsieing]] ",0.3333061933517456,0.5275057554244995,0,1,0,17,"Successful"
"the storylines are [[woven]] together skilfully , the [[magnificent]] swooping aerial shots are [[breathtaking]] , and the overall [[experience]] is [[awesome]] . ","the storylines are [[Wwoven]] together skilfully , the [[magnfiicent]] swooping aerial shots are [[braethtaking]] , and the overall [[eYxperience]] is [[Lwesome]] . ",0.031362712383270264,0.7937996983528137,1,0,1,32,"Successful"
"of the most highly-praised [[disappointments]] i ","of the most highly-praised [[diHsappointments]] i ",0.27229273319244385,0.3699483871459961,0,0,0,11,"Failed"
"sounds [[like]] a [[cruel]] [[deception]] carried out by [[men]] of [[marginal]] intelligence , with [[reactionary]] ideas about [[women]] and a [[total]] [[lack]] of [[empathy]] . ","sounds [[Jike]] a [[cruiel]] [[dWception]] carried out by [[mdn]] of [[margincal]] intelligence , with [[raectionary]] ideas about [[wmen]] and a [[toatl]] [[laHk]] of [[empath]] . ",0.038605451583862305,0.5107004046440125,0,1,0,71,"Successful"
"seem fresh ","seem fresh ",0.5531624555587769,0.5531624555587769,0,0,1,1,"Skipped"
